LeafLength,LeafWidth,Species
445,21.5,Chlorophytum Comosum
330,20.3,Chlorophytum Comosum
165,10.3,Chlorophytum Comosum
402,21.8,Chlorophytum Comosum
402,20.4,Chlorophytum Comosum
275,16.9,Chlorophytum Comosum
315,12.7,Chlorophytum Comosum
240,10.5,Chlorophytum Comosum
105,5.9,Chlorophytum Comosum
175,9,Chlorophytum Comosum
135,8.9,Chlorophytum Comosum
160,12.3,Chlorophytum Comosum
85,8.7,Chlorophytum Comosum
457,22.7,Chlorophytum Comosum
403,20,Chlorophytum Comosum
197,14.9,Chlorophytum Comosum
100,10.7,Chlorophytum Comosum
250,14.6,Chlorophytum Comosum
335,20.7,Chlorophytum Comosum
417,21.7,Chlorophytum Comosum
16,9.4,Sedum Astrid
24,11.5,Sedum Astrid
22.3,11.3,Sedum Astrid
22.1,9.9,Sedum Astrid
22.9,11.5,Sedum Astrid
25,12.5,Sedum Astrid
24.7,12.4,Sedum Astrid
25.5,10.8,Sedum Astrid
27.6,11.5,Sedum Astrid
26.3,13.2,Sedum Astrid
22.9,11.5,Sedum Astrid
23.9,12.5,Sedum Astrid
24.3,13.3,Sedum Astrid
27,14.2,Sedum Astrid
24.5,13.1,Sedum Astrid
25.4,12.2,Sedum Astrid
23.6,11.2,Sedum Astrid
26.5,12,Sedum Astrid
24.6,13.1,Sedum Astrid
24.8,12.7,Sedum Astrid
77.5,25.5,Echeveria Pulidonis
79.3,27.4,Echeveria Pulidonis
79.8,27.1,Echeveria Pulidonis
77.8,28.2,Echeveria Pulidonis
78.6,23.3,Echeveria Pulidonis
72.5,25.5,Echeveria Pulidonis
81.4,23.8,Echeveria Pulidonis
76.8,19.1,Echeveria Pulidonis
75.7,21.8,Echeveria Pulidonis
77.2,19.9,Echeveria Pulidonis
64.7,17.5,Echeveria Pulidonis
75,23,Echeveria Pulidonis
65.7,18.5,Echeveria Pulidonis
77.5,25.9,Echeveria Pulidonis
82.1,29.2,Echeveria Pulidonis
74.9,27.2,Echeveria Pulidonis
84.7,25.4,Echeveria Pulidonis
80.8,27.5,Echeveria Pulidonis
73.5,21.1,Echeveria Pulidonis
80.3,25.4,Echeveria Pulidonis